promney,rfrac
0.0758813001723,0.07
0.115069670222,0.14
0.211855398583,0.26
0.221639863544,0.27
0.302363705637,0.344715713763
0.35693383673699997,0.39
0.394862910464,0.42
0.5,0.5
0.606589990025,0.581132682743
0.6390429813340001,0.6067705682060001
0.642995244661,0.609942963817
0.6554217416100001,0.62
0.6696248063470001,0.631663214171
0.679630809099,0.64
0.714529664099,0.67
0.74749804122,0.699991152419
0.7475074624529999,0.7
0.7683224253650001,0.72
0.789358038275,0.7412587299160001
0.797580142413,0.74990266718
0.806937662858,0.76
0.81585707675,0.769906661891
0.8332296493250001,0.790101999772
0.843399123886,0.802557962642
0.851741936639,0.813180070084
0.8643339390539999,0.83
0.864989143021,0.830903765816
0.891274286787,0.87
0.916956308791,0.915465747141
0.933192798731,0.95
